[00:01:31]: [Myth-Viet-Scanner] ===== BẮT ĐẦU SCAN =====	
[00:01:32]: [Myth-Viet-Scanner] ----- CHINESE (6281) -----	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MINISIGN.UNDRAWN = 妾身应该在那上面画些东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_WEAK_RAT = 这只胡萝卜鼠不在训练的状态。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.LOST_TOY_14 = 一定有一个完美的科学解释。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_PETRIFED_TREES = 我听到树在悲鸣？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.CARNIVALCANNON.COOLDOWN = 太炸了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TRINKET_39 = 我想知道另一只在哪里？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_NOHUNGERSIESTA = 我太饿了，没法午休！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.RUINSHAT = 护佑你的肉体。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.SUCCULENT_PICKED = 妾身能吃那个，但妾身不想吃。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.FRUITDRAGON.RIPE = 现在应该熟了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TALLBIRDEGG_CRACKED.SHORT = 它现在随时要孵出来了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.NEZA.DESCRIBE.HAT_COMMISSIONER_BLACK = 妾本一孤魄，元神与魂连	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.VEGETARIAN_FOOD = 是我用蛤蟆变的那份吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BEE.GENERIC = 你们可真可爱。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_SPOOKED = 你看到了吗？！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.DRAGONCHILISALAD = 希望能承受住辛辣的程度。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE_PLANTSTRESSORHAPPINESS = 它想找人好好聊聊。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.PIGSY_RAKE = 本为礼器，却成杀器	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_MOONALTAR_MINE.IDOL_REVEAL = 你自由了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_MOONALTAR_MINE.SEED_MED = 里面有东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_MOONALTAR_MINE.SEED_REVEAL = 你自由了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_MOONALTAR_MINE.SEED_LOW = 快挖出来了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_MOONALTAR_MINE.GLASS_MED = 里面有东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_MOONALTAR_MINE.IDOL_LOW = 快挖出来了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.FISHMEAT_COOKED = 烤得恰到好处。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TOWNPORTALTALISMAN.GENERIC = 受到召唤的石头。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_TOOL_SLIP = 哦，那工具太滑手了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_BOAT_LEAK = 水越来越多了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.FARM_PLANT.BURNING = 这对植物来说不是好事……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WATERBALLOON = 嘿老范，要打水仗吗！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.CHESSPIECE_MALBATROSS = 它不追着杀你的时候还是挺可爱的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MOON_FISSURE.GENERIC = 平静和恐惧同时在妾身的脑中回响。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ACTIONFAIL.ACTIVATE.NOCARNIVAL = 鸟儿看起来都飞走了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.SKYHOUND_TOOTH = 永不熄灭的心	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.GOURD_COOKED = 再加点孜然，谢谢	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_ARCHIVE_NEW_KNOWLEDGE = 来自远古的新知识拓宽了我的思维！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HONEYCOMB = 蜜蜂曾住在这里。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.NEZA.DESCRIBE.MYTH_FOOD_TR = 又是那该死的泼猴	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_ENTER_DARK = 此地阴阴，直通幽冥！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_DETACH_BUFF_SLEEPRESISTANCE = 我……（哈欠）再也……不累了……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MOONDIAL.NIGHT_WAX = 月亮慢慢在变圆。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HAT_COMMISSIONER_WHITE = 魄逐见阎王	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.SLINGSHOTAMMO_GOLD = 即将打出的弹药。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.HALLOWEENCANDY_13 = 哎呀，妾身可怜的下巴。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MYTH_INTERIORS_LIGHT = 啊~ 一盏似乎有法力的油灯	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MYTH_QXJ = 拔剑起，杀意临	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MYTH_BANANA_TREE = 秋风吹过也染碧	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BATWING_COOKED = 至少它不会再活过来了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MYTH_INTERIORS_GHG_LU = 那庙里的香比之差远了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MYTH_FOOD_LXQ = 这倒比生食多了些趣味。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.PREMIUMWATERINGCAN.GENERIC = 纤细的嘴里吐出涓涓细流！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ANCIENT_STATUE = 它好像在与世界格格不入地震动。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_PLANT_RANDOMSEED = 不知道会长成什么。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_CALL_BEEF = 你给我过来！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.YOTB_BEEFALO_DOLL_VICTORIAN.YOTB = 不知道他们会怎么说？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.PORTABLETENT = 我感觉已经几辈子没睡过好觉了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.MYTH_INTERIORS_XL = 我从前用过的香料可都是人血精制	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MYTH_CHANG_E = 可否向仙子讨教一番？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MYTH_FOOD_HBJ = 哮天你要不要来一份	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TOMATO_SEEDS = 一把古怪的种子。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.RUINS_BAT = 份量相当重。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BOOK_GARDENING = 还不如看齐民要术来得方便。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WATERPLANT_BOMB = 是种子啊！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PUFFIN.GENERIC = 奇怪的鸟儿，是以前没见过的呢。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SADDLEHORN = 这能够卸下鞍具。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.COMBAT_QUIT.GENERIC = 他肯定尝到我的厉害了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.PANDORASCHEST = 里面可能有很好的东西！也可能是可怕的东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BOOK_BRIMSTONE = 那样地府会堵车的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HALLOWEENCANDY_11 = 比真的东西尝起来味道好多了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.BOOKINFO_MYTH = 余烬暗燃，书香隐现	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.POLISHCOOKIE = 我要来一次光碟行动！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.OASISLAKE.GENERIC = 这是海市蜃楼吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BUTTERFLYMUFFIN = 我们扔掉了食谱，即兴发挥了一下。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.YOTB_BEEFALOSHRINE.GENERIC = 做什么呢……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.USEKLAUSSACKKEY.WRONGKEY = 哎呀！钥匙不对。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.NIGHTMARE_TIMEPIECE.WARN = 感测到这里有相当强的能量。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.NIGHTMARE_TIMEPIECE.WANING = 感觉能量正在逐渐减弱。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WOBSTER_SHELLER_DEAD_COOKED = 我等不及要吃了你。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MYTH_RUYI = 这件宝贝归我了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MUSHROOM_FARM.EMPTY = 它可以使用一个孢子。或是一个蘑菇移植植物。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.FLOWER_CAVE = 还是彼岸花更美。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MANDRAKE_COOKED = 它看起来没有那么奇怪了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.ARMOR_PILL = 好好补一补奴家的筋骨。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.SLINGSHOTAMMO_THULECITE = 即将打出的弹药。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MYTH_REDLANTERN = 魂灯一摇，三魂出窍	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.MYTH_REDLANTERN_GROUND = 月若明灯，走马红尘。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TURF_ROCKY = 一块地皮。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MYTH_FOOD_FHY = 人间种种，都喜宴席	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BOOK_HORTICULTURE = 读了半天没看到一个农场。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WINTER_TREE.BURNING = 我认为那是个错误。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.MYTH_CQF = 有了它就能偷偷出去玩了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.CARTOGRAPHYDESK.BURNT = 现在就只有灰烬了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BEARGER_FUR = 一块厚毛皮。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BEEHAT = 保护你的皮肤，但会压坏你精心设计的发型。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ACTIONFAIL.APPRAISE.NOTNOW = 人家忙着呢。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.CACTUS_MEAT = 要想把它变成一顿美味，还需要把上面的刺弄掉。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ACTIONFAIL.USEKLAUSSACKKEY.KLAUS = 妾身现在无暇接应！！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.CARROT_COOKED = 软塌塌的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.CRABKING.GENERIC = 咦！妾身想尝尝大螃蟹了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MARBLEPILLAR = 我想我能用得上它。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.OAR_DRIFTWOOD = 手动加速船只。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.FROGNEWTON = 芬芳与浓郁的焦香。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.GNARWAIL.GENERIC = 天啊，你的角真大。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ONION = 看起来很脆。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MINISIGN_ITEM = 像这样没有太多用处。妾身应该把它放下。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MONKEY_KING.DESCRIBE.MYTH_FOOD_ZPD = 呸！给呆子吃去	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ANCHOR_ITEM = 现在我能造出锚了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ARMORMARBLE = 那看起来真的很沉。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BIRDCAGE.SKELETON = 只是一具普通的尸骨？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.DIRTPILE = 这是一堆土...还是？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.DRAGONFLYCHEST = 仅次于保险箱！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.DUG_GRASS = 如今在哪里都可以种这种植物。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WORMWOOD.FIRESTARTER = 我以为你讨厌火，%s.	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PICKAXE = 很形象，不是吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BLUE_CAP = 它很古怪，还黏黏的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.COMMISSIONER_MPT = 本座还没到轮回的时候	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.GUANO = 你可别想玷污妾身的发髻。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BUNDLE = 我们的物资都在那里面！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.REFLECTIVEVEST = 走开，愚蠢的金乌！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MOON_FISSURE_PLUGGED = 虽然不科学……但是很有效。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.COOKEDMEAT = 碳烤熟透。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.UMBRELLA = 再来一次，不要这雨伞也罢。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TRAP_TEETH = 真是糟糕的意外。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TRINKET_15 = ...麦斯威尔又落下了他的行头。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ACTIONFAIL.MOUNT.INUSE = 有人抢先骑上去了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TWIGGY_NUT = 它里面有一棵想要出去的多枝树。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BEEFALO_GROOMER.OCCUPIED = 让妾身来美化一下这头皮弗娄牛！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.LATKES = 妾身能吃好多个。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WINTERSFEASTOVEN.DISH_READY = 科学说完成了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.GEARS = 一堆机械零件。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HEALINGSALVE = 有点儿刺痛感就说明它起作用了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MOONDIAL.GENERIC = 水承载月，月倒映了水。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PORTABLECOOKPOT_ITEM.DONE = 行，做完饭了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.SPEAR_LANCE = 它直击要害。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TOADSTOOL_CAP.INGROUND = 有东西伸出来了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.RABBIT.GENERIC = 他在找胡萝卜。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.HALLOWEENPOTION_DRINKS_WEAK = 原以为会更大呢。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BIRDCAGE.OCCUPIED = 位置不够可怎么办？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SCULPTURE_BISHOPBODY.FINISHED = 然后呢？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SCULPTURE_BISHOPBODY.UNCOVERED = 有一个大的碎片没找到。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MYTH_FENCE = 遮蔽了什么，掩藏了什么	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TURF_DRAGONFLY = 你想证明它能防火吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.SKELETON_PLAYER.DEFAULT = %s一定是在和%s进行搏斗时死的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ARROWSIGN_POST.GENERIC = 它说“那个方向”。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WANDA.FIRESTARTER = 让我猜猜，这与“保存时间线”有关？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.LOG.BURNING = 好烫的木头！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HOME = 一定有人住在这里。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TELEBASE.GEMS = 它需要更多能量。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.DEVTOOL_NODEV = 我还不够壮，挥不动它。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MERM = 鱼腥味十足！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ALTERGUARDIAN_PHASE3TRAP = 未找到	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WICKERBOTTOM.MURDERER = 哈哈！您还是早点回家吧。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.LUREPLANTBULB = 现在我可以开办我自己的肉农场了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WES.MURDERER = 快走吧，妾身不爱看哑剧！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MARBLE = 高级！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SEWING_KIT = 该死！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.NEZA.DESCRIBE.LAOZI_QINGNIU = 俯首卑微，甘为坐骑	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MOONBUTTERFLY.GENERIC = 月光在飞舞。	
